taxon_key,taxon_label,connected_domains,relationship_count,n_climate,n_conservation,n_literature,n_media,n_mycorrhiza,n_occurrences,n_pollinators,n_traits
taxon:528,Macropodanthus cootesii,climate,1,1,0,0,0,0,0,0,0
taxon:529,Macropodanthus membraniferus,climate,1,1,0,0,0,0,0,0,0
taxon:530,Macropodanthus nayanianum,climate,1,1,0,0,0,0,0,0,0
taxon:532,Macropodanthus rimauensis,climate,1,1,0,0,0,0,0,0,0
taxon:533,Macropodanthus sabahensis,climate,1,1,0,0,0,0,0,0,0
taxon:534,Macropodanthus teysmannii,climate,1,1,0,0,0,0,0,0,0
taxon:535,Dimorphorchis beccarii,climate,1,1,0,0,0,0,0,0,0
taxon:536,Dimorphorchis beccarii,climate,1,1,0,0,0,0,0,0,0
taxon:537,Dimorphorchis breviscapa,climate,1,1,0,0,0,0,0,0,0
taxon:538,Dimorphorchis celebica,climate,1,1,0,0,0,0,0,0,0
taxon:539,Dimorphorchis graciliscapa,climate,1,1,0,0,0,0,0,0,0
taxon:540,Dimorphorchis lowii,climate,1,1,0,0,0,0,0,0,0
taxon:543,Dimorphorchis rossii,climate,1,1,0,0,0,0,0,0,0
taxon:555,Drymoanthus neocaledonicus,climate,1,1,0,0,0,0,0,0,0
taxon:546,Diploprora championii,climate,1,1,0,0,0,0,0,0,0
taxon:547,Diploprora truncata,climate,1,1,0,0,0,0,0,0,0
taxon:548,Drymoanthus adversus,climate,1,1,0,0,0,0,0,0,0
taxon:549,Drymoanthus begaudii,climate,1,1,0,0,0,0,0,0,0
taxon:551,Drymoanthus flavus,climate,1,1,0,0,0,0,0,0,0
taxon:553,Drymoanthus minimus,climate,1,1,0,0,0,0,0,0,0
taxon:554,Drymoanthus minutus,climate,1,1,0,0,0,0,0,0,0
taxon:556,Vandopsis gigantea,climate,1,1,0,0,0,0,0,0,0
taxon:557,Vandopsis lissochiloides,climate,1,1,0,0,0,0,0,0,0
taxon:559,Cymbilabia sourioudongii,climate,1,1,0,0,0,0,0,0,0
taxon:561,Sarcanthopsis hansemannii,climate,1,1,0,0,0,0,0,0,0
taxon:562,Saccolabiopsis pallida,climate,1,1,0,0,0,0,0,0,0
taxon:565,Sarcanthopsis quaifei,climate,1,1,0,0,0,0,0,0,0
taxon:566,Sarcanthopsis warocqueana,climate,1,1,0,0,0,0,0,0,0
taxon:567,Sarcanthopsis woodfordii,climate,1,1,0,0,0,0,0,0,0
taxon:571,Acampe joiceyana,climate,1,1,0,0,0,0,0,0,0
taxon:572,Acampe ochracea,climate,1,1,0,0,0,0,0,0,0
taxon:611,Vanda floresensis,climate,1,1,0,0,0,0,0,0,0
taxon:573,Acampe pachyglossa,climate,1,1,0,0,0,0,0,0,0
taxon:574,Acampe praemorsa,climate,1,1,0,0,0,0,0,0,0
taxon:576,Saccolabiopsis alata,climate,1,1,0,0,0,0,0,0,0
taxon:577,Saccolabiopsis armitii,climate,1,1,0,0,0,0,0,0,0
taxon:578,Saccolabiopsis bakhuizenii,climate,1,1,0,0,0,0,0,0,0
taxon:579,Saccolabiopsis gillespiei,climate,1,1,0,0,0,0,0,0,0
taxon:580,Saccolabiopsis papuana,climate,1,1,0,0,0,0,0,0,0
taxon:582,Saccolabiopsis pusilla,climate,1,1,0,0,0,0,0,0,0
taxon:583,Saccolabiopsis rara,climate,1,1,0,0,0,0,0,0,0
taxon:584,Saccolabiopsis rectifolia,climate,1,1,0,0,0,0,0,0,0
taxon:587,Saccolabiopsis viridiflora,climate,1,1,0,0,0,0,0,0,0
taxon:588,Schoenorchis aurea,climate,1,1,0,0,0,0,0,0,0
taxon:589,Schoenorchis brevirachis,climate,1,1,0,0,0,0,0,0,0
taxon:590,Schoenorchis buddleiflora,climate,1,1,0,0,0,0,0,0,0
taxon:591,Schoenorchis endertii,climate,1,1,0,0,0,0,0,0,0
taxon:592,Schoenorchis fragrans,climate,1,1,0,0,0,0,0,0,0
taxon:612,Vanda foetida,climate,1,1,0,0,0,0,0,0,0
taxon:594,Schoenorchis hangianae,climate,1,1,0,0,0,0,0,0,0
taxon:595,Schoenorchis hungii,climate,1,1,0,0,0,0,0,0,0
taxon:596,Vanda coerulea,mycorrhiza,3,0,0,0,0,3,0,0,0
taxon:599,Vanda cootesii,climate,1,1,0,0,0,0,0,0,0
taxon:600,Vanda cristata,climate,1,1,0,0,0,0,0,0,0
taxon:613,Vanda frankieana,climate,1,1,0,0,0,0,0,0,0
taxon:601,Vanda curvifolia,climate,1,1,0,0,0,0,0,0,0
taxon:602,Vanda dearei,climate,1,1,0,0,0,0,0,0,0
taxon:603,Vanda denisoniana,climate,1,1,0,0,0,0,0,0,0
taxon:604,Vanda devoogtii,climate,1,1,0,0,0,0,0,0,0
taxon:605,Vanda dives,climate,1,1,0,0,0,0,0,0,0
taxon:607,Vanda hastifera,climate,1,1,0,0,0,0,0,0,0
taxon:608,Vanda falcata,mycorrhiza,1,0,0,0,0,1,0,0,0
taxon:609,Vanda emilyae,climate,1,1,0,0,0,0,0,0,0
taxon:610,Vanda flabellata,climate,1,1,0,0,0,0,0,0,0
taxon:616,Vanda fuscoviridis,climate,1,1,0,0,0,0,0,0,0
taxon:617,Vanda garayi,climate,1,1,0,0,0,0,0,0,0
taxon:618,Vanda gibbsiae,climate,1,1,0,0,0,0,0,0,0
taxon:619,Vanda gracilis,climate,1,1,0,0,0,0,0,0,0
taxon:620,Vanda helvola,climate,1,1,0,0,0,0,0,0,0
taxon:621,Vanda hennisiana,climate,1,1,0,0,0,0,0,0,0
taxon:624,Vanda insignis,climate,1,1,0,0,0,0,0,0,0
taxon:625,Vanda insularum,climate,1,1,0,0,0,0,0,0,0
taxon:628,Schoenorchis juncifolia,climate,1,1,0,0,0,0,0,0,0
taxon:629,Schoenorchis kembangleutik,climate,1,1,0,0,0,0,0,0,0
taxon:631,Schoenorchis micrantha,climate,1,1,0,0,0,0,0,0,0
taxon:633,Schoenorchis mishmensis,climate,1,1,0,0,0,0,0,0,0
taxon:634,Schoenorchis vanoverberghii,climate,1,1,0,0,0,0,0,0,0
taxon:635,Schoenorchis nivea,climate,1,1,0,0,0,0,0,0,0
taxon:636,Schoenorchis pachyacris,climate,1,1,0,0,0,0,0,0,0
taxon:637,Schoenorchis pachyglossa,climate,1,1,0,0,0,0,0,0,0
taxon:638,Schoenorchis paniculata,climate,1,1,0,0,0,0,0,0,0
taxon:640,Schoenorchis sarcophylla,climate,1,1,0,0,0,0,0,0,0
taxon:641,Schoenorchis scolopendria,climate,1,1,0,0,0,0,0,0,0
taxon:642,Schoenorchis secundiflora,climate,1,1,0,0,0,0,0,0,0
taxon:643,Schoenorchis seidenfadenii,climate,1,1,0,0,0,0,0,0,0
taxon:644,Schoenorchis smeeana,climate,1,1,0,0,0,0,0,0,0
taxon:645,Schoenorchis subulata,climate,1,1,0,0,0,0,0,0,0
taxon:649,Schoenorchis tortifolia,climate,1,1,0,0,0,0,0,0,0
taxon:659,Vanda lilacina,climate,1,1,0,0,0,0,0,0,0
taxon:650,Seidenfadeniella chrysantha,climate,1,1,0,0,0,0,0,0,0
taxon:652,Pelatantheria bicuspidata,climate,1,1,0,0,0,0,0,0,0
taxon:653,Vanda javierae,climate,1,1,0,0,0,0,0,0,0
taxon:654,Vanda jennae,climate,1,1,0,0,0,0,0,0,0
taxon:656,Vanda lamellata,climate,1,1,0,0,0,0,0,0,0
taxon:663,Vanda lombokensis,climate,1,1,0,0,0,0,0,0,0
taxon:664,Vanda longitepala,climate,1,1,0,0,0,0,0,0,0
taxon:665,Vanda luzonica,climate,1,1,0,0,0,0,0,0,0
taxon:666,Vanda malipoensis,climate,1,1,0,0,0,0,0,0,0
taxon:669,Vanda metusalae,climate,1,1,0,0,0,0,0,0,0
taxon:670,Vanda mindanaoensis,climate,1,1,0,0,0,0,0,0,0
taxon:673,Vanda subconcolor,climate,1,1,0,0,0,0,0,0,0
taxon:675,Vanda perplexa,climate,1,1,0,0,0,0,0,0,0
taxon:676,Vanda pumila,climate,1,1,0,0,0,0,0,0,0
taxon:678,Vanda richardsiana,climate,1,1,0,0,0,0,0,0,0
taxon:680,Vanda rubra,climate,1,1,0,0,0,0,0,0,0
taxon:681,Vanda sanderiana,climate,1,1,0,0,0,0,0,0,0
taxon:682,Vanda sathishii,climate,1,1,0,0,0,0,0,0,0
taxon:684,Vanda scandens,climate,1,1,0,0,0,0,0,0,0
taxon:697,Vanda x feliciae,climate,1,1,0,0,0,0,0,0,0
taxon:686,Vanda testacea,climate,1,1,0,0,0,0,0,0,0
taxon:687,Vanda thwaitesii,climate,1,1,0,0,0,0,0,0,0
taxon:688,Vanda tricolor ssp. tricolor,climate,1,1,0,0,0,0,0,0,0
taxon:689,Vanda tricolor ssp. suavis,climate,1,1,0,0,0,0,0,0,0
taxon:690,Vanda ustii,climate,1,1,0,0,0,0,0,0,0
taxon:694,Vanda x charlesworthii,climate,1,1,0,0,0,0,0,0,0
taxon:695,Vanda x confusa,climate,1,1,0,0,0,0,0,0,0
taxon:699,Vanda x geraldinoi,climate,1,1,0,0,0,0,0,0,0
taxon:703,Vanda x moorei,climate,1,1,0,0,0,0,0,0,0
taxon:707,Paraholcoglossum amesianum,climate,1,1,0,0,0,0,0,0,0
taxon:708,Paraholcoglossum subulifolium,climate,1,1,0,0,0,0,0,0,0
taxon:709,Holcoglossum calcicola,climate,1,1,0,0,0,0,0,0,0
taxon:710,Holcoglossum clausum,climate,1,1,0,0,0,0,0,0,0
taxon:711,Holcoglossum flavescens,climate,1,1,0,0,0,0,0,0,0
taxon:714,Holcoglossum kimballianum,climate,1,1,0,0,0,0,0,0,0
taxon:715,Phalaenopsis violacea,climate,1,1,0,0,0,0,0,0,0
taxon:716,Phalaenopsis viridis,climate,1,1,0,0,0,0,0,0,0
taxon:727,Phalaenopsis yingjiangensis,climate,1,1,0,0,0,0,0,0,0
taxon:718,Phalaenopsis wilsonii,climate,1,1,0,0,0,0,0,0,0
taxon:719,Phalaenopsis x amphitrite,climate,1,1,0,0,0,0,0,0,0
taxon:720,Phalaenopsis x gersenii,climate,1,1,0,0,0,0,0,0,0
taxon:722,Phalaenopsis x leucorrhoda,climate,1,1,0,0,0,0,0,0,0
taxon:723,Phalaenopsis x lotubela,climate,1,1,0,0,0,0,0,0,0
taxon:724,Phalaenopsis x rolfeana,climate,1,1,0,0,0,0,0,0,0
taxon:725,Phalaenopsis x singuliflora,climate,1,1,0,0,0,0,0,0,0
taxon:728,Paraphalaenopsis denevei,climate,1,1,0,0,0,0,0,0,0
taxon:729,Paraphalaenopsis labukensis,climate,1,1,0,0,0,0,0,0,0
taxon:730,Paraphalaenopsis laycockii,climate,1,1,0,0,0,0,0,0,0
taxon:731,Paraphalaenopsis serpentilingua,climate,1,1,0,0,0,0,0,0,0
taxon:732,Paraphalaenopsis x thorntonii,climate,1,1,0,0,0,0,0,0,0
taxon:733,Pteroceras asperatum,climate,1,1,0,0,0,0,0,0,0
taxon:734,Pteroceras biserratum,climate,1,1,0,0,0,0,0,0,0
taxon:735,Pteroceras compressum,climate,1,1,0,0,0,0,0,0,0
taxon:736,Pteroceras dalaputtuwa,climate,1,1,0,0,0,0,0,0,0
taxon:737,Pteroceras erosulum,climate,1,1,0,0,0,0,0,0,0
taxon:846,Cleisostoma odoratum ssp. sabahense,climate,1,1,0,0,0,0,0,0,0
taxon:738,Pteroceras fragrans,climate,1,1,0,0,0,0,0,0,0
taxon:739,Pteroceras fraternum,climate,1,1,0,0,0,0,0,0,0
taxon:740,Pteroceras hirsutum,climate,1,1,0,0,0,0,0,0,0
taxon:741,Pteroceras johorense,climate,1,1,0,0,0,0,0,0,0
taxon:742,Pteroceras leopardinum,climate,1,1,0,0,0,0,0,0,0
taxon:743,Pteroceras longicalcarum,climate,1,1,0,0,0,0,0,0,0
taxon:744,Pteroceras monsooniae,climate,1,1,0,0,0,0,0,0,0
taxon:745,Pteroceras muluense,climate,1,1,0,0,0,0,0,0,0
taxon:767,Sarcoglyphis potamophila,climate,1,1,0,0,0,0,0,0,0
taxon:748,Pteroceras philippinense,climate,1,1,0,0,0,0,0,0,0
taxon:749,Pteroceras spathibrachiatum,climate,1,1,0,0,0,0,0,0,0
taxon:750,Pteroceras teres,climate,1,1,0,0,0,0,0,0,0
taxon:751,Pteroceras violaceum,climate,1,1,0,0,0,0,0,0,0
taxon:753,Pteroceras vriesii,climate,1,1,0,0,0,0,0,0,0
taxon:755,Brachypeza cladostachya,climate,1,1,0,0,0,0,0,0,0
taxon:791,Trichoglottis apoensis ssp. alba,climate,1,1,0,0,0,0,0,0,0
taxon:756,Brachypeza indusiata,climate,1,1,0,0,0,0,0,0,0
taxon:757,Sarcoglyphis comberi,climate,1,1,0,0,0,0,0,0,0
taxon:758,Sarcoglyphis elliottiana,climate,1,1,0,0,0,0,0,0,0
taxon:759,Sarcoglyphis fimbriatus,climate,1,1,0,0,0,0,0,0,0
taxon:762,Sarcoglyphis lilacina,climate,1,1,0,0,0,0,0,0,0
taxon:763,Sarcoglyphis magnirostris,climate,1,1,0,0,0,0,0,0,0
taxon:764,Sarcoglyphis mirabilis,climate,1,1,0,0,0,0,0,0,0
taxon:765,Sarcoglyphis parishii,climate,1,1,0,0,0,0,0,0,0
taxon:766,Sarcoglyphis pensilis,climate,1,1,0,0,0,0,0,0,0
taxon:769,Cleisostoma simondii,climate,1,1,0,0,0,0,0,0,0
taxon:770,Cleisostoma sororium,climate,1,1,0,0,0,0,0,0,0
taxon:771,Cleisostoma stimulatrix,climate,1,1,0,0,0,0,0,0,0
taxon:772,Cleisostoma striatum,climate,1,1,0,0,0,0,0,0,0
taxon:773,Micropera sheryliae,climate,1,1,0,0,0,0,0,0,0
taxon:774,Pelatantheria cristata,climate,1,1,0,0,0,0,0,0,0
taxon:775,Pelatantheria ctenoglossa,climate,1,1,0,0,0,0,0,0,0
taxon:776,Pelatantheria eakroensis,climate,1,1,0,0,0,0,0,0,0
taxon:847,Cleisostoma pacificum,climate,1,1,0,0,0,0,0,0,0
taxon:777,Pelatantheria insectifera,climate,1,1,0,0,0,0,0,0,0
taxon:778,Pelatantheria rivesii,climate,1,1,0,0,0,0,0,0,0
taxon:780,Jejewoodia crockerensis,climate,1,1,0,0,0,0,0,0,0
taxon:781,Jejewoodia jiewhoei,climate,1,1,0,0,0,0,0,0,0
taxon:782,Jejewoodia jongirii,climate,1,1,0,0,0,0,0,0,0
taxon:783,Jejewoodia linusii,climate,1,1,0,0,0,0,0,0,0
taxon:784,Jejewoodia longicalcarata,climate,1,1,0,0,0,0,0,0,0
taxon:785,Jejewoodia rimauensis,climate,1,1,0,0,0,0,0,0,0
taxon:786,Trichoglottis adnata,climate,1,1,0,0,0,0,0,0,0
taxon:787,Trichoglottis agusanensis,climate,1,1,0,0,0,0,0,0,0
taxon:788,Trichoglottis amesiana,climate,1,1,0,0,0,0,0,0,0
taxon:789,Trichoglottis angusta,climate,1,1,0,0,0,0,0,0,0
taxon:792,Trichoglottis atropurpurea,climate,1,1,0,0,0,0,0,0,0
taxon:794,Trichoglottis bimae,climate,1,1,0,0,0,0,0,0,0
taxon:795,Trichoglottis bipenicillata,climate,1,1,0,0,0,0,0,0,0
taxon:796,Trichoglottis bipunctata,climate,1,1,0,0,0,0,0,0,0
taxon:797,Trichoglottis borneensis,climate,1,1,0,0,0,0,0,0,0
taxon:799,Trichoglottis calcarata,climate,1,1,0,0,0,0,0,0,0
taxon:800,Trichoglottis calochila,climate,1,1,0,0,0,0,0,0,0
taxon:801,Trichoglottis canhii,climate,1,1,0,0,0,0,0,0,0
taxon:802,Trichoglottis celebica,climate,1,1,0,0,0,0,0,0,0
taxon:881,Thrixspermum indragiriense,climate,1,1,0,0,0,0,0,0,0
taxon:803,Trichoglottis chrysochila,climate,1,1,0,0,0,0,0,0,0
taxon:804,Trichoglottis collenetteae,climate,1,1,0,0,0,0,0,0,0
taxon:805,Trichoglottis corazoniae,climate,1,1,0,0,0,0,0,0,0
taxon:807,Trichoglottis cuneilabris,climate,1,1,0,0,0,0,0,0,0
taxon:808,Trichoglottis cypriana,climate,1,1,0,0,0,0,0,0,0
taxon:809,Trichoglottis dawsoniana,climate,1,1,0,0,0,0,0,0,0
taxon:810,Trichoglottis fasciata,climate,1,1,0,0,0,0,0,0,0
taxon:811,Trichoglottis geminata,climate,1,1,0,0,0,0,0,0,0
taxon:812,Trichoglottis gibbosicalcar,climate,1,1,0,0,0,0,0,0,0
taxon:813,Trichoglottis granulata,climate,1,1,0,0,0,0,0,0,0
taxon:814,Trichoglottis guibertii,climate,1,1,0,0,0,0,0,0,0
taxon:815,Trichoglottis hastatiloba,climate,1,1,0,0,0,0,0,0,0
taxon:816,Trichoglottis javanica,climate,1,1,0,0,0,0,0,0,0
taxon:817,Trichoglottis jiewhoei,climate,1,1,0,0,0,0,0,0,0
taxon:819,Trichoglottis kinabaluensis,climate,1,1,0,0,0,0,0,0,0
taxon:821,Trichoglottis lanceolaria,climate,1,1,0,0,0,0,0,0,0
taxon:822,Trichoglottis lasioglossa,climate,1,1,0,0,0,0,0,0,0
taxon:823,Cleisostoma strongyloides,climate,1,1,0,0,0,0,0,0,0
taxon:824,Cleisostoma suaveolens,climate,1,1,0,0,0,0,0,0,0
taxon:834,Arachnis hookeriana,climate,1,1,0,0,0,0,0,0,0
taxon:825,Cleisostoma subulatum,climate,1,1,0,0,0,0,0,0,0
taxon:826,Cleisostoma subulifolium,climate,1,1,0,0,0,0,0,0,0
taxon:827,Cleisostoma suffusum,climate,1,1,0,0,0,0,0,0,0
taxon:828,Cleisostoma sumbavense,climate,1,1,0,0,0,0,0,0,0
taxon:829,Cleisostoma tatonii,climate,1,1,0,0,0,0,0,0,0
taxon:830,Cleisostoma tenuifolium,climate,1,1,0,0,0,0,0,0,0
taxon:831,Cleisostoma tenuirachis,climate,1,1,0,0,0,0,0,0,0
taxon:833,Arachnis grandisepala,climate,1,1,0,0,0,0,0,0,0
taxon:835,Arachnis labrosa,climate,1,1,0,0,0,0,0,0,0
taxon:836,Arachnis labrosa,climate,1,1,0,0,0,0,0,0,0
taxon:837,Cleisostoma masiusii,climate,1,1,0,0,0,0,0,0,0
taxon:838,Cleisostoma medogense,climate,1,1,0,0,0,0,0,0,0
taxon:840,Cleisostoma montanum,climate,1,1,0,0,0,0,0,0,0
taxon:841,Cleisostoma mulunense,climate,1,1,0,0,0,0,0,0,0
taxon:842,Cleisostoma muticum,climate,1,1,0,0,0,0,0,0,0
taxon:843,Cleisostoma nangongense,climate,1,1,0,0,0,0,0,0,0
taxon:844,Cleisostoma nieuwenhuisii,climate,1,1,0,0,0,0,0,0,0
taxon:845,Cleisostoma odoratum ssp. odoratum,climate,1,1,0,0,0,0,0,0,0
taxon:895,Cleisostoma verrucosum,climate,1,1,0,0,0,0,0,0,0
taxon:848,Cleisostoma paniculatum,climate,1,1,0,0,0,0,0,0,0
taxon:849,Cleisostoma phitamii,climate,1,1,0,0,0,0,0,0,0
taxon:850,Cleisostoma pinifolium,climate,1,1,0,0,0,0,0,0,0
taxon:852,Cleisostoma porrigens,climate,1,1,0,0,0,0,0,0,0
taxon:853,Cleisostoma posthumii,climate,1,1,0,0,0,0,0,0,0
taxon:854,Cleisostoma quinquefidum,climate,1,1,0,0,0,0,0,0,0
taxon:855,Cleisostoma racemiferum,climate,1,1,0,0,0,0,0,0,0
taxon:856,Cleisostoma ridleyi,climate,1,1,0,0,0,0,0,0,0
taxon:857,Cleisostoma rolfeanum,climate,1,1,0,0,0,0,0,0,0
taxon:858,Cleisostoma rostellatum,climate,1,1,0,0,0,0,0,0,0
taxon:859,Cleisostoma rostratum,climate,1,1,0,0,0,0,0,0,0
taxon:860,Arachnis limax,climate,1,1,0,0,0,0,0,0,0
taxon:861,Arachnis longisepala,climate,1,1,0,0,0,0,0,0,0
taxon:862,Arachnis senapatiana,climate,1,1,0,0,0,0,0,0,0
taxon:863,Arachnis seramensis,climate,1,1,0,0,0,0,0,0,0
taxon:865,Thrixspermum fimbriatum,climate,1,1,0,0,0,0,0,0,0
taxon:866,Thrixspermum flaccidum,climate,1,1,0,0,0,0,0,0,0
taxon:867,Thrixspermum flammeum,climate,1,1,0,0,0,0,0,0,0
taxon:868,Thrixspermum fleuryi,climate,1,1,0,0,0,0,0,0,0
taxon:882,Thrixspermum inquinatum,climate,1,1,0,0,0,0,0,0,0
taxon:869,Thrixspermum formosanum,climate,1,1,0,0,0,0,0,0,0
taxon:870,Thrixspermum fragrans,climate,1,1,0,0,0,0,0,0,0
taxon:871,Thrixspermum fulgens,climate,1,1,0,0,0,0,0,0,0
taxon:872,Thrixspermum fuscum,climate,1,1,0,0,0,0,0,0,0
taxon:873,Thrixspermum gombakense,climate,1,1,0,0,0,0,0,0,0
taxon:874,Thrixspermum gracilicaule,climate,1,1,0,0,0,0,0,0,0
taxon:875,Thrixspermum graeffei,climate,1,1,0,0,0,0,0,0,0
taxon:876,Thrixspermum grandiflorum,climate,1,1,0,0,0,0,0,0,0
taxon:877,Thrixspermum hiepii,climate,1,1,0,0,0,0,0,0,0
taxon:878,Thrixspermum histrix,climate,1,1,0,0,0,0,0,0,0
taxon:879,Thrixspermum incurvicalcar,climate,1,1,0,0,0,0,0,0,0
taxon:880,Thrixspermum indicum,climate,1,1,0,0,0,0,0,0,0
taxon:883,Micropera secunda,climate,1,1,0,0,0,0,0,0,0
taxon:884,Cleisostoma rugosulum,climate,1,1,0,0,0,0,0,0,0
taxon:885,Cleisostoma saccatum,climate,1,1,0,0,0,0,0,0,0
taxon:886,Cleisostoma sagittatum,climate,1,1,0,0,0,0,0,0,0
taxon:887,Cleisostoma samarindae,climate,1,1,0,0,0,0,0,0,0
taxon:888,Cleisostoma scortechinii,climate,1,1,0,0,0,0,0,0,0
taxon:889,Cleisostoma termissum,climate,1,1,0,0,0,0,0,0,0
taxon:890,Cleisostoma tricallosum,climate,1,1,0,0,0,0,0,0,0
taxon:891,Cleisostoma tricornutum,climate,1,1,0,0,0,0,0,0,0
taxon:893,Cleisostoma unisetum,climate,1,1,0,0,0,0,0,0,0
taxon:894,Cleisostoma uraiense,climate,1,1,0,0,0,0,0,0,0
taxon:896,Cleisostoma williamsonii,climate,1,1,0,0,0,0,0,0,0
taxon:897,Stereochilus arunachalensis,climate,1,1,0,0,0,0,0,0,0
taxon:899,Stereochilus dalatensis,climate,1,1,0,0,0,0,0,0,0
taxon:900,Stereochilus erinaceus,climate,1,1,0,0,0,0,0,0,0
taxon:901,Stereochilus hirtus,climate,1,1,0,0,0,0,0,0,0
taxon:904,Stereochilus ringens,climate,1,1,0,0,0,0,0,0,0
taxon:920,Thrixspermum ochraceum,climate,1,1,0,0,0,0,0,0,0
taxon:907,Thrixspermum integrum,climate,1,1,0,0,0,0,0,0,0
taxon:909,Thrixspermum jainiana,climate,1,1,0,0,0,0,0,0,0
taxon:911,Thrixspermum javanicum,climate,1,1,0,0,0,0,0,0,0
taxon:915,Thrixspermum multicolor,climate,1,1,0,0,0,0,0,0,0
taxon:917,Thrixspermum nicolasiorum,climate,1,1,0,0,0,0,0,0,0
taxon:918,Thrixspermum obtusum,climate,1,1,0,0,0,0,0,0,0
taxon:921,Thrixspermum odoratum,climate,1,1,0,0,0,0,0,0,0
taxon:924,Micropera costulata,climate,1,1,0,0,0,0,0,0,0
taxon:926,Micropera edanoi,climate,1,1,0,0,0,0,0,0,0
taxon:927,Micropera fasciculata,climate,1,1,0,0,0,0,0,0,0
taxon:928,Arachnis bouffordii,climate,1,1,0,0,0,0,0,0,0
taxon:929,Micropera fuscolutea,climate,1,1,0,0,0,0,0,0,0
taxon:930,Micropera loheri,climate,1,1,0,0,0,0,0,0,0
taxon:931,Micropera mannii,climate,1,1,0,0,0,0,0,0,0
taxon:932,Micropera obtusa,climate,1,1,0,0,0,0,0,0,0
taxon:933,Micropera pallida,climate,1,1,0,0,0,0,0,0,0
taxon:935,Micropera poilanei,climate,1,1,0,0,0,0,0,0,0
taxon:936,Micropera proboscidea,climate,1,1,0,0,0,0,0,0,0
taxon:937,Micropera rostrata,climate,1,1,0,0,0,0,0,0,0
taxon:938,Thrixspermum agusanense,climate,1,1,0,0,0,0,0,0,0
taxon:939,Micropera sterrophylla,climate,1,1,0,0,0,0,0,0,0
taxon:940,Micropera thailandica,climate,1,1,0,0,0,0,0,0,0
taxon:941,Micropera tibetica,climate,1,1,0,0,0,0,0,0,0
taxon:978,Calymmanthera tenuis,climate|traits,3,1,0,0,0,0,0,0,2
taxon:943,Micropera utriculosa,climate,1,1,0,0,0,0,0,0,0
taxon:945,Bidoupia khangii,climate,1,1,0,0,0,0,0,0,0
taxon:946,Bidoupia micrantha,climate,1,1,0,0,0,0,0,0,0
taxon:948,Trichoglottis ledermannii,climate,1,1,0,0,0,0,0,0,0
taxon:949,Trichoglottis littoralis,climate,1,1,0,0,0,0,0,0,0
